flavor	gpumem	gpu
Standard_NC6	12	1xTesla K80
Standard_NC6_Promo	12	1xTesla K80
Standard_NC12	24	2xTesla K80
Standard_NC12_Promo	24	2xTesla K80
Standard_NC24	48	4xTesla K80
Standard_NC24_Promo	48	4xTesla K80
Standard_NC24r	48	4xTesla K80
Standard_NC24r_Promo	48	4xTesla K80
Standard_NC40ads_H100_v5	94	1xH100
Standard_NC80adis_H100_v5	188	2xH100
Standard_NC6s_v2	16	1xTesla P100
Standard_NC12s_v2	32	2xTesla P100
Standard_NC24s_v2	64	4xTesla P100
Standard_NC24rs_v2	64	4xTesla P100
Standard_NC6s_v3	16	1xTesla V100
Standard_NC12s_v3	32	2xTesla V100
Standard_NC24s_v3	64	4xTesla V100
Standard_NC24rs_v3	64	4xTesla V100
Standard_NC4as_T4_v3	16	1xTesla T4
Standard_NC8as_T4_v3	16	1xTesla T4
Standard_NC16as_T4_v3	16	1xTesla T4
Standard_NC64as_T4_v3	64	4xTesla T4
Standard_NC24ads_A100_v4	80	1xA100
Standard_NC48ads_A100_v4	160	2xA100
Standard_NC96ads_A100_v4	320	4xA100
Standard_ND96isr_MI300X_v5	1536	8xInstinct MI300 192-GB
Standard_ND96isr_H100_v5	640	8xH100 80-GB
Standard_ND96amsr_A100_v4	640	8xA100 80-GB
Standard_ND96asr_A100_v4	320	8xA100 40-GB
Standard_NG8ads_V620_v1	8	1/4xRadeon PRO V620
Standard_NG16ads_V620_v1	16	1/2xRadeon PRO V620
Standard_NG32ads_V620_v1	32	1xRadeon PRO V620
Standard_NG32adms_V620_v1	32	1xRadeon PRO V620
Standard_NV6ads_A10_v5	4	1/6xA10
Standard_NV12ads_A10_v5	8	1/3xA10
Standard_NV18ads_A10_v5	12	1/2xA10
Standard_NV36ads_A10_v5	24	1xA10
Standard_NV36adms_A10_v5	24	1xA10
Standard_NV72ads_A10_v5	48	2xA10
Standard_ND96asr_v4	886	8xA100
Standard_NV4as_v4	2	1/8xInstinct MI25
Standard_NV8as_v4	4	1/4xInstinct MI25
Standard_NV16as_v4	8	1/2xInstinct MI25
Standard_NV32as_v4	16	1xInstinct MI25
